end,month,start,value
1,0-2h,0,5
2,0-2h,1,13
3,0-2h,2,8
4,0-2h,3,8
5,0-2h,4,11
6,0-2h,5,10
7,0-2h,6,11
8,0-2h,7,8
9,0-2h,8,12
10,0-2h,9,8
11,0-2h,10,11
12,0-2h,11,7
13,0-2h,12,12
14,0-2h,13,7
15,0-2h,14,13
16,0-2h,15,8
17,0-2h,16,13
18,0-2h,17,7
19,0-2h,18,10
20,0-2h,19,9
21,0-2h,20,9
22,0-2h,21,12
23,0-2h,22,7
24,0-2h,23,13
25,0-2h,24,8
26,0-2h,25,10
27,0-2h,26,7
28,0-2h,27,11
29,0-2h,28,8
30,0-2h,29,12
1,2-4h,0,9
2,2-4h,1,8
3,2-4h,2,12
4,2-4h,3,7
5,2-4h,4,11
6,2-4h,5,7
7,2-4h,6,12
8,2-4h,7,7
9,2-4h,8,12
10,2-4h,9,9
11,2-4h,10,11
12,2-4h,11,8
13,2-4h,12,9
14,2-4h,13,11
15,2-4h,14,9
16,2-4h,15,11
17,2-4h,16,6
18,2-4h,17,13
19,2-4h,18,6
20,2-4h,19,12
21,2-4h,20,9
22,2-4h,21,10
23,2-4h,22,9
24,2-4h,23,10
25,2-4h,24,11
26,2-4h,25,8
27,2-4h,26,11
28,2-4h,27,8
29,2-4h,28,11
30,2-4h,29,5
1,4-6h,0,11
2,4-6h,1,8
3,4-6h,2,12
4,4-6h,3,9
5,4-6h,4,8
6,4-6h,5,12
7,4-6h,6,8
8,4-6h,7,10
9,4-6h,8,10
10,4-6h,9,8
11,4-6h,10,9
12,4-6h,11,10
13,4-6h,12,8
14,4-6h,13,10
15,4-6h,14,10
16,4-6h,15,10
17,4-6h,16,10
18,4-6h,17,8
19,4-6h,18,10
20,4-6h,19,9
21,4-6h,20,9
22,4-6h,21,10
23,4-6h,22,7
24,4-6h,23,11
25,4-6h,24,9
26,4-6h,25,10
27,4-6h,26,11
28,4-6h,27,7
29,4-6h,28,10
30,4-6h,29,9
1,6-8h,0,8
2,6-8h,1,11
3,6-8h,2,9
4,6-8h,3,10
5,6-8h,4,12
6,6-8h,5,11
7,6-8h,6,6
8,6-8h,7,9
9,6-8h,8,10
10,6-8h,9,8
11,6-8h,10,11
12,6-8h,11,8
13,6-8h,12,6
14,6-8h,13,1
15,6-8h,14,0
16,6-8h,15,61
17,6-8h,16,116
18,6-8h,17,84
19,6-8h,18,72
20,6-8h,19,40
21,6-8h,20,57
22,6-8h,21,54
23,6-8h,22,64
24,6-8h,23,41
25,6-8h,24,87
26,6-8h,25,40
27,6-8h,26,27
28,6-8h,27,38
29,6-8h,28,24
30,6-8h,29,38
1,8-10h,0,39
2,8-10h,1,30
3,8-10h,2,31
4,8-10h,3,38
5,8-10h,4,28
6,8-10h,5,34
7,8-10h,6,27
8,8-10h,7,36
9,8-10h,8,26
10,8-10h,9,32
11,8-10h,10,26
12,8-10h,11,28
13,8-10h,12,45
14,8-10h,13,68
15,8-10h,14,22
16,8-10h,15,26
17,8-10h,16,28
18,8-10h,17,21
19,8-10h,18,22
20,8-10h,19,22
21,8-10h,20,22
22,8-10h,21,20
23,8-10h,22,20
24,8-10h,23,20
25,8-10h,24,19
26,8-10h,25,22
27,8-10h,26,20
28,8-10h,27,19
29,8-10h,28,20
30,8-10h,29,20
1,10-12h,0,19
2,10-12h,1,22
3,10-12h,2,19
4,10-12h,3,18
5,10-12h,4,19
6,10-12h,5,17
7,10-12h,6,19
8,10-12h,7,21
9,10-12h,8,20
10,10-12h,9,18
11,10-12h,10,20
12,10-12h,11,19
13,10-12h,12,17
14,10-12h,13,18
15,10-12h,14,20
16,10-12h,15,20
17,10-12h,16,19
18,10-12h,17,17
19,10-12h,18,17
20,10-12h,19,19
21,10-12h,20,17
22,10-12h,21,20
23,10-12h,22,20
24,10-12h,23,19
25,10-12h,24,19
26,10-12h,25,18
27,10-12h,26,16
28,10-12h,27,17
29,10-12h,28,18
30,10-12h,29,19
1,12-14h,0,17
2,12-14h,1,20
3,12-14h,2,19
4,12-14h,3,16
5,12-14h,4,15
6,12-14h,5,18
7,12-14h,6,18
8,12-14h,7,20
9,12-14h,8,17
10,12-14h,9,16
11,12-14h,10,17
12,12-14h,11,15
13,12-14h,12,16
14,12-14h,13,20
15,12-14h,14,18
16,12-14h,15,16
17,12-14h,16,16
18,12-14h,17,18
19,12-14h,18,16
20,12-14h,19,18
21,12-14h,20,18
22,12-14h,21,16
23,12-14h,22,18
24,12-14h,23,19
25,12-14h,24,36
26,12-14h,25,25
27,12-14h,26,21
28,12-14h,27,26
29,12-14h,28,21
30,12-14h,29,24
1,14-16h,0,28
2,14-16h,1,40
3,14-16h,2,31
4,14-16h,3,41
5,14-16h,4,41
6,14-16h,5,33
7,14-16h,6,36
8,14-16h,7,13
9,14-16h,8,16
10,14-16h,9,17
11,14-16h,10,14
12,14-16h,11,13
13,14-16h,12,15
14,14-16h,13,15
15,14-16h,14,11
16,14-16h,15,16
17,14-16h,16,13
18,14-16h,17,14
19,14-16h,18,10
20,14-16h,19,14
21,14-16h,20,15
22,14-16h,21,9
23,14-16h,22,12
24,14-16h,23,11
25,14-16h,24,12
26,14-16h,25,13
27,14-16h,26,12
28,14-16h,27,10
29,14-16h,28,12
30,14-16h,29,9
1,16-18h,0,10
2,16-18h,1,12
3,16-18h,2,9
4,16-18h,3,11
5,16-18h,4,11
6,16-18h,5,9
7,16-18h,6,11
8,16-18h,7,10
9,16-18h,8,11
10,16-18h,9,9
11,16-18h,10,12
12,16-18h,11,10
13,16-18h,12,10
14,16-18h,13,11
15,16-18h,14,10
16,16-18h,15,9
17,16-18h,16,12
18,16-18h,17,8
19,16-18h,18,11
20,16-18h,19,10
21,16-18h,20,11
22,16-18h,21,9
23,16-18h,22,12
24,16-18h,23,10
25,16-18h,24,11
26,16-18h,25,10
27,16-18h,26,10
28,16-18h,27,10
29,16-18h,28,11
30,16-18h,29,11
1,18-20h,0,9
2,18-20h,1,11
3,18-20h,2,9
4,18-20h,3,9
5,18-20h,4,11
6,18-20h,5,9
7,18-20h,6,12
8,18-20h,7,9
9,18-20h,8,13
10,18-20h,9,7
11,18-20h,10,13
12,18-20h,11,8
13,18-20h,12,11
14,18-20h,13,11
15,18-20h,14,9
16,18-20h,15,9
17,18-20h,16,11
18,18-20h,17,10
19,18-20h,18,12
20,18-20h,19,8
21,18-20h,20,12
22,18-20h,21,7
23,18-20h,22,14
24,18-20h,23,8
25,18-20h,24,14
26,18-20h,25,6
27,18-20h,26,15
28,18-20h,27,5
29,18-20h,28,13
30,18-20h,29,7
1,20-22h,0,14
2,20-22h,1,7
3,20-22h,2,12
4,20-22h,3,7
5,20-22h,4,13
6,20-22h,5,8
7,20-22h,6,12
8,20-22h,7,9
9,20-22h,8,11
10,20-22h,9,8
11,20-22h,10,13
12,20-22h,11,7
13,20-22h,12,11
14,20-22h,13,9
15,20-22h,14,12
16,20-22h,15,9
17,20-22h,16,11
18,20-22h,17,9
19,20-22h,18,11
20,20-22h,19,10
21,20-22h,20,9
22,20-22h,21,11
23,20-22h,22,9
24,20-22h,23,11
25,20-22h,24,9
26,20-22h,25,12
27,20-22h,26,7
28,20-22h,27,11
29,20-22h,28,10
30,20-22h,29,10
1,22-24h,0,10
2,22-24h,1,10
3,22-24h,2,10
4,22-24h,3,10
5,22-24h,4,10
6,22-24h,5,11
7,22-24h,6,8
8,22-24h,7,12
9,22-24h,8,9
10,22-24h,9,10
11,22-24h,10,11
12,22-24h,11,8
13,22-24h,12,10
14,22-24h,13,10
15,22-24h,14,11
16,22-24h,15,9
17,22-24h,16,11
18,22-24h,17,10
19,22-24h,18,9
20,22-24h,19,11
21,22-24h,20,8
22,22-24h,21,10
23,22-24h,22,10
24,22-24h,23,10
25,22-24h,24,10
26,22-24h,25,8
27,22-24h,26,11
28,22-24h,27,8
29,22-24h,28,12
30,22-24h,29,7
