end,month,start,value
1,0-2h,0,38
2,0-2h,1,36
3,0-2h,2,47
4,0-2h,3,46
5,0-2h,4,37
6,0-2h,5,39
7,0-2h,6,39
8,0-2h,7,37
9,0-2h,8,41
10,0-2h,9,50
11,0-2h,10,36
12,0-2h,11,39
13,0-2h,12,47
14,0-2h,13,36
15,0-2h,14,37
16,0-2h,15,58
17,0-2h,16,38
18,0-2h,17,38
19,0-2h,18,37
20,0-2h,19,37
21,0-2h,20,42
22,0-2h,21,38
23,0-2h,22,38
24,0-2h,23,36
25,0-2h,24,39
26,0-2h,25,37
27,0-2h,26,39
28,0-2h,27,37
29,0-2h,28,39
30,0-2h,29,37
1,2-4h,0,37
2,2-4h,1,47
3,2-4h,2,36
4,2-4h,3,39
5,2-4h,4,45
6,2-4h,5,39
7,2-4h,6,38
8,2-4h,7,38
9,2-4h,8,39
10,2-4h,9,38
11,2-4h,10,37
12,2-4h,11,37
13,2-4h,12,38
14,2-4h,13,39
15,2-4h,14,45
16,2-4h,15,44
17,2-4h,16,38
18,2-4h,17,40
19,2-4h,18,38
20,2-4h,19,36
21,2-4h,20,40
22,2-4h,21,56
23,2-4h,22,35
24,2-4h,23,41
25,2-4h,24,52
26,2-4h,25,50
27,2-4h,26,39
28,2-4h,27,38
29,2-4h,28,45
30,2-4h,29,37
1,4-6h,0,36
2,4-6h,1,47
3,4-6h,2,39
4,4-6h,3,37
5,4-6h,4,37
6,4-6h,5,63
7,4-6h,6,38
8,4-6h,7,46
9,4-6h,8,46
10,4-6h,9,39
11,4-6h,10,44
12,4-6h,11,39
13,4-6h,12,43
14,4-6h,13,38
15,4-6h,14,36
16,4-6h,15,38
17,4-6h,16,40
18,4-6h,17,55
19,4-6h,18,36
20,4-6h,19,38
21,4-6h,20,35
22,4-6h,21,38
23,4-6h,22,36
24,4-6h,23,39
25,4-6h,24,47
26,4-6h,25,45
27,4-6h,26,13
28,4-6h,27,0
29,4-6h,28,0
30,4-6h,29,16
1,6-8h,0,2
2,6-8h,1,8
3,6-8h,2,17
4,6-8h,3,10
5,6-8h,4,16
6,6-8h,5,3
7,6-8h,6,10
8,6-8h,7,24
9,6-8h,8,12
10,6-8h,9,12
11,6-8h,10,0
12,6-8h,11,7
13,6-8h,12,0
14,6-8h,13,0
15,6-8h,14,0
16,6-8h,15,0
17,6-8h,16,0
18,6-8h,17,32
19,6-8h,18,39
20,6-8h,19,22
21,6-8h,20,22
22,6-8h,21,5
23,6-8h,22,9
24,6-8h,23,20
25,6-8h,24,22
26,6-8h,25,47
27,6-8h,26,30
28,6-8h,27,29
29,6-8h,28,16
30,6-8h,29,19
1,8-10h,0,29
2,8-10h,1,20
3,8-10h,2,18
4,8-10h,3,15
5,8-10h,4,8
6,8-10h,5,20
7,8-10h,6,35
8,8-10h,7,21
9,8-10h,8,22
10,8-10h,9,18
11,8-10h,10,29
12,8-10h,11,38
13,8-10h,12,31
14,8-10h,13,59
15,8-10h,14,24
16,8-10h,15,8
17,8-10h,16,19
18,8-10h,17,24
19,8-10h,18,15
20,8-10h,19,29
21,8-10h,20,23
22,8-10h,21,23
23,8-10h,22,42
24,8-10h,23,31
25,8-10h,24,45
26,8-10h,25,32
27,8-10h,26,32
28,8-10h,27,27
29,8-10h,28,11
30,8-10h,29,25
1,10-12h,0,14
2,10-12h,1,45
3,10-12h,2,45
4,10-12h,3,22
5,10-12h,4,40
6,10-12h,5,24
7,10-12h,6,15
8,10-12h,7,12
9,10-12h,8,17
10,10-12h,9,13
11,10-12h,10,21
12,10-12h,11,26
13,10-12h,12,19
14,10-12h,13,22
15,10-12h,14,28
16,10-12h,15,6
17,10-12h,16,14
18,10-12h,17,6
19,10-12h,18,13
20,10-12h,19,36
21,10-12h,20,31
22,10-12h,21,167
23,10-12h,22,204
24,10-12h,23,201
25,10-12h,24,206
26,10-12h,25,205
27,10-12h,26,193
28,10-12h,27,69
29,10-12h,28,34
30,10-12h,29,21
1,12-14h,0,36
2,12-14h,1,29
3,12-14h,2,33
4,12-14h,3,32
5,12-14h,4,22
6,12-14h,5,38
7,12-14h,6,10
8,12-14h,7,33
9,12-14h,8,39
10,12-14h,9,26
11,12-14h,10,20
12,12-14h,11,11
13,12-14h,12,17
14,12-14h,13,21
15,12-14h,14,7
16,12-14h,15,13
17,12-14h,16,14
18,12-14h,17,17
19,12-14h,18,14
20,12-14h,19,24
21,12-14h,20,21
22,12-14h,21,16
23,12-14h,22,8
24,12-14h,23,3
25,12-14h,24,19
26,12-14h,25,19
27,12-14h,26,24
28,12-14h,27,35
29,12-14h,28,21
30,12-14h,29,44
1,14-16h,0,46
2,14-16h,1,65
3,14-16h,2,27
4,14-16h,3,19
5,14-16h,4,25
6,14-16h,5,9
7,14-16h,6,12
8,14-16h,7,11
9,14-16h,8,14
10,14-16h,9,11
11,14-16h,10,2
12,14-16h,11,0
13,14-16h,12,2
14,14-16h,13,0
15,14-16h,14,2
16,14-16h,15,24
17,14-16h,16,10
18,14-16h,17,0
19,14-16h,18,18
20,14-16h,19,2
21,14-16h,20,0
22,14-16h,21,15
23,14-16h,22,2
24,14-16h,23,14
25,14-16h,24,1
26,14-16h,25,2
27,14-16h,26,9
28,14-16h,27,8
29,14-16h,28,2
30,14-16h,29,2
1,16-18h,0,6
2,16-18h,1,0
3,16-18h,2,0
4,16-18h,3,2
5,16-18h,4,4
6,16-18h,5,8
7,16-18h,6,0
8,16-18h,7,10
9,16-18h,8,4
10,16-18h,9,2
11,16-18h,10,0
12,16-18h,11,11
13,16-18h,12,2
14,16-18h,13,0
15,16-18h,14,3
16,16-18h,15,8
17,16-18h,16,2
18,16-18h,17,8
19,16-18h,18,0
20,16-18h,19,4
21,16-18h,20,7
22,16-18h,21,1
23,16-18h,22,4
24,16-18h,23,0
25,16-18h,24,2
26,16-18h,25,0
27,16-18h,26,0
28,16-18h,27,0
29,16-18h,28,2
30,16-18h,29,0
1,18-20h,0,0
2,18-20h,1,2
3,18-20h,2,0
4,18-20h,3,8
5,18-20h,4,0
6,18-20h,5,2
7,18-20h,6,16
8,18-20h,7,0
9,18-20h,8,2
10,18-20h,9,11
11,18-20h,10,1
12,18-20h,11,0
13,18-20h,12,3
14,18-20h,13,20
15,18-20h,14,8
16,18-20h,15,8
17,18-20h,16,2
18,18-20h,17,5
19,18-20h,18,21
20,18-20h,19,0
21,18-20h,20,13
22,18-20h,21,8
23,18-20h,22,13
24,18-20h,23,8
25,18-20h,24,13
26,18-20h,25,0
27,18-20h,26,0
28,18-20h,27,8
29,18-20h,28,8
30,18-20h,29,0
1,20-22h,0,0
2,20-22h,1,9
3,20-22h,2,3
4,20-22h,3,0
5,20-22h,4,8
6,20-22h,5,0
7,20-22h,6,2
8,20-22h,7,0
