end,month,start,value
1,0-2h,0,0
2,0-2h,1,0
3,0-2h,2,0
4,0-2h,3,0
5,0-2h,4,0
6,0-2h,5,0
7,0-2h,6,0
8,0-2h,7,0
9,0-2h,8,0
10,0-2h,9,0
11,0-2h,10,0
12,0-2h,11,0
13,0-2h,12,0
14,0-2h,13,0
15,0-2h,14,0
16,0-2h,15,0
17,0-2h,16,0
18,0-2h,17,0
19,0-2h,18,0
20,0-2h,19,0
21,0-2h,20,0
22,0-2h,21,0
23,0-2h,22,0
24,0-2h,23,0
25,0-2h,24,0
26,0-2h,25,0
27,0-2h,26,0
28,0-2h,27,0
29,0-2h,28,0
30,0-2h,29,0
1,2-4h,0,0
2,2-4h,1,0
3,2-4h,2,0
4,2-4h,3,0
5,2-4h,4,0
6,2-4h,5,0
7,2-4h,6,0
8,2-4h,7,0
9,2-4h,8,0
10,2-4h,9,0
11,2-4h,10,0
12,2-4h,11,0
13,2-4h,12,0
14,2-4h,13,0
15,2-4h,14,0
16,2-4h,15,0
17,2-4h,16,0
18,2-4h,17,0
19,2-4h,18,0
20,2-4h,19,0
21,2-4h,20,0
22,2-4h,21,0
23,2-4h,22,0
24,2-4h,23,0
25,2-4h,24,0
26,2-4h,25,0
27,2-4h,26,0
28,2-4h,27,0
29,2-4h,28,0
30,2-4h,29,0
1,4-6h,0,0
2,4-6h,1,0
3,4-6h,2,0
4,4-6h,3,0
5,4-6h,4,0
6,4-6h,5,0
7,4-6h,6,0
8,4-6h,7,0
9,4-6h,8,0
10,4-6h,9,0
11,4-6h,10,0
12,4-6h,11,0
13,4-6h,12,0
14,4-6h,13,0
15,4-6h,14,0
16,4-6h,15,0
17,4-6h,16,0
18,4-6h,17,0
19,4-6h,18,0
20,4-6h,19,0
21,4-6h,20,0
22,4-6h,21,0
23,4-6h,22,0
24,4-6h,23,0
25,4-6h,24,0
26,4-6h,25,0
27,4-6h,26,0
28,4-6h,27,0
29,4-6h,28,0
30,4-6h,29,0
1,6-8h,0,0
2,6-8h,1,0
3,6-8h,2,0
4,6-8h,3,0
5,6-8h,4,0
6,6-8h,5,0
7,6-8h,6,0
8,6-8h,7,0
9,6-8h,8,0
10,6-8h,9,0
11,6-8h,10,0
12,6-8h,11,0
13,6-8h,12,0
14,6-8h,13,804
15,6-8h,14,1206
16,6-8h,15,2152
17,6-8h,16,1497
18,6-8h,17,769
19,6-8h,18,307
20,6-8h,19,277
21,6-8h,20,393
22,6-8h,21,169
23,6-8h,22,196
24,6-8h,23,188
25,6-8h,24,261
26,6-8h,25,370
27,6-8h,26,374
28,6-8h,27,80
29,6-8h,28,55
30,6-8h,29,72
1,8-10h,0,50
2,8-10h,1,32
3,8-10h,2,59
4,8-10h,3,35
5,8-10h,4,41
6,8-10h,5,228
7,8-10h,6,47
8,8-10h,7,68
9,8-10h,8,44
10,8-10h,9,38
11,8-10h,10,57
12,8-10h,11,55
13,8-10h,12,36
14,8-10h,13,51
15,8-10h,14,19
16,8-10h,15,40
17,8-10h,16,26
18,8-10h,17,31
19,8-10h,18,19
20,8-10h,19,28
21,8-10h,20,23
22,8-10h,21,24
23,8-10h,22,22
24,8-10h,23,50
25,8-10h,24,22
26,8-10h,25,22
27,8-10h,26,19
28,8-10h,27,24
29,8-10h,28,16
30,8-10h,29,28
1,10-12h,0,19
2,10-12h,1,13
3,10-12h,2,23
4,10-12h,3,25
5,10-12h,4,30
6,10-12h,5,40
7,10-12h,6,36
8,10-12h,7,31
9,10-12h,8,32
10,10-12h,9,37
11,10-12h,10,32
12,10-12h,11,24
13,10-12h,12,29
14,10-12h,13,39
15,10-12h,14,24
16,10-12h,15,33
17,10-12h,16,17
18,10-12h,17,29
19,10-12h,18,40
20,10-12h,19,30
21,10-12h,20,12
22,10-12h,21,40
23,10-12h,22,24
24,10-12h,23,26
25,10-12h,24,34
26,10-12h,25,23
27,10-12h,26,23
28,10-12h,27,30
29,10-12h,28,46
30,10-12h,29,38
1,12-14h,0,28
2,12-14h,1,22
3,12-14h,2,50
4,12-14h,3,21
5,12-14h,4,35
6,12-14h,5,31
7,12-14h,6,54
8,12-14h,7,44
9,12-14h,8,34
10,12-14h,9,40
11,12-14h,10,29
12,12-14h,11,25
13,12-14h,12,20
14,12-14h,13,20
15,12-14h,14,24
16,12-14h,15,31
17,12-14h,16,24
18,12-14h,17,21
19,12-14h,18,20
20,12-14h,19,19
21,12-14h,20,21
22,12-14h,21,11
23,12-14h,22,24
24,12-14h,23,55
25,12-14h,24,41
26,12-14h,25,19
27,12-14h,26,13
28,12-14h,27,16
29,12-14h,28,10
30,12-14h,29,12
1,14-16h,0,8
2,14-16h,1,22
3,14-16h,2,19
4,14-16h,3,10
5,14-16h,4,21
6,14-16h,5,16
7,14-16h,6,31
8,14-16h,7,20
9,14-16h,8,14
10,14-16h,9,13
11,14-16h,10,12
12,14-16h,11,15
13,14-16h,12,8
14,14-16h,13,4
15,14-16h,14,10
16,14-16h,15,8
17,14-16h,16,16
18,14-16h,17,23
19,14-16h,18,12
20,14-16h,19,12
21,14-16h,20,10
22,14-16h,21,8
23,14-16h,22,2
24,14-16h,23,9
25,14-16h,24,3
26,14-16h,25,3
27,14-16h,26,1
28,14-16h,27,8
29,14-16h,28,6
30,14-16h,29,3
1,16-18h,0,1
2,16-18h,1,34
3,16-18h,2,10
4,16-18h,3,4
5,16-18h,4,2
6,16-18h,5,6
7,16-18h,6,7
8,16-18h,7,4
9,16-18h,8,7
10,16-18h,9,6
11,16-18h,10,6
12,16-18h,11,4
13,16-18h,12,1
14,16-18h,13,3
15,16-18h,14,4
16,16-18h,15,16
17,16-18h,16,7
18,16-18h,17,5
19,16-18h,18,1
20,16-18h,19,3
21,16-18h,20,4
22,16-18h,21,4
23,16-18h,22,3
24,16-18h,23,7
25,16-18h,24,3
26,16-18h,25,4
27,16-18h,26,4
28,16-18h,27,8
29,16-18h,28,0
30,16-18h,29,2
1,18-20h,0,3
2,18-20h,1,16
3,18-20h,2,12
4,18-20h,3,2
5,18-20h,4,9
6,18-20h,5,2
7,18-20h,6,5
8,18-20h,7,7
9,18-20h,8,2
10,18-20h,9,7
11,18-20h,10,5
12,18-20h,11,2
13,18-20h,12,4
14,18-20h,13,5
15,18-20h,14,1
16,18-20h,15,3
17,18-20h,16,3
18,18-20h,17,31
19,18-20h,18,13
20,18-20h,19,10
21,18-20h,20,9
22,18-20h,21,7
23,18-20h,22,7
24,18-20h,23,7
25,18-20h,24,3
26,18-20h,25,7
27,18-20h,26,7
28,18-20h,27,5
29,18-20h,28,5
30,18-20h,29,1
1,20-22h,0,4
2,20-22h,1,8
3,20-22h,2,2
4,20-22h,3,35
5,20-22h,4,18
6,20-22h,5,6
7,20-22h,6,7
8,20-22h,7,6
9,20-22h,8,3
10,20-22h,9,5
11,20-22h,10,5
12,20-22h,11,4
13,20-22h,12,3
14,20-22h,13,7
15,20-22h,14,3
16,20-22h,15,3
17,20-22h,16,6
18,20-22h,17,5
19,20-22h,18,20
20,20-22h,19,9
21,20-22h,20,6
22,20-22h,21,6
23,20-22h,22,5
24,20-22h,23,3
25,20-22h,24,10
26,20-22h,25,6
27,20-22h,26,4
28,20-22h,27,8
29,20-22h,28,2
30,20-22h,29,5
1,22-24h,0,4
2,22-24h,1,3
3,22-24h,2,20
4,22-24h,3,10
5,22-24h,4,10
6,22-24h,5,4
7,22-24h,6,6
8,22-24h,7,7
9,22-24h,8,5
10,22-24h,9,5
11,22-24h,10,5
12,22-24h,11,2
13,22-24h,12,2
14,22-24h,13,4
15,22-24h,14,3
16,22-24h,15,2
17,22-24h,16,2
18,22-24h,17,2
19,22-24h,18,23
20,22-24h,19,6
21,22-24h,20,8
22,22-24h,21,5
23,22-24h,22,7
24,22-24h,23,3
25,22-24h,24,9
26,22-24h,25,3
27,22-24h,26,5
28,22-24h,27,6
29,22-24h,28,3
30,22-24h,29,3
