end,month,start,value
1,0-2h,0,10
2,0-2h,1,8
3,0-2h,2,4
4,0-2h,3,8
5,0-2h,4,6
6,0-2h,5,6
7,0-2h,6,8
8,0-2h,7,8
9,0-2h,8,6
10,0-2h,9,8
11,0-2h,10,6
12,0-2h,11,6
13,0-2h,12,10
14,0-2h,13,6
15,0-2h,14,4
16,0-2h,15,10
17,0-2h,16,8
18,0-2h,17,4
19,0-2h,18,8
20,0-2h,19,6
21,0-2h,20,6
22,0-2h,21,8
23,0-2h,22,8
24,0-2h,23,4
25,0-2h,24,10
26,0-2h,25,6
27,0-2h,26,6
28,0-2h,27,8
29,0-2h,28,8
30,0-2h,29,4
1,2-4h,0,10
2,2-4h,1,8
3,2-4h,2,4
4,2-4h,3,8
5,2-4h,4,6
6,2-4h,5,6
7,2-4h,6,8
8,2-4h,7,8
9,2-4h,8,4
10,2-4h,9,10
11,2-4h,10,6
12,2-4h,11,6
13,2-4h,12,8
14,2-4h,13,8
15,2-4h,14,4
16,2-4h,15,10
17,2-4h,16,6
18,2-4h,17,6
19,2-4h,18,8
20,2-4h,19,6
21,2-4h,20,6
22,2-4h,21,8
23,2-4h,22,8
24,2-4h,23,4
25,2-4h,24,10
26,2-4h,25,6
27,2-4h,26,6
28,2-4h,27,8
29,2-4h,28,8
30,2-4h,29,4
1,4-6h,0,10
2,4-6h,1,6
3,4-6h,2,6
4,4-6h,3,8
5,4-6h,4,6
6,4-6h,5,4
7,4-6h,6,10
8,4-6h,7,8
9,4-6h,8,4
10,4-6h,9,10
11,4-6h,10,6
12,4-6h,11,6
13,4-6h,12,8
14,4-6h,13,8
15,4-6h,14,4
16,4-6h,15,10
17,4-6h,16,6
18,4-6h,17,6
19,4-6h,18,8
20,4-6h,19,6
21,4-6h,20,4
22,4-6h,21,10
23,4-6h,22,8
24,4-6h,23,4
25,4-6h,24,8
26,4-6h,25,8
27,4-6h,26,6
28,4-6h,27,8
29,4-6h,28,6
30,4-6h,29,6
1,6-8h,0,10
2,6-8h,1,6
3,6-8h,2,6
4,6-8h,3,8
5,6-8h,4,6
6,6-8h,5,4
7,6-8h,6,10
8,6-8h,7,8
9,6-8h,8,4
10,6-8h,9,8
11,6-8h,10,8
12,6-8h,11,6
13,6-8h,12,6
14,6-8h,13,16
15,6-8h,14,2
16,6-8h,15,4
17,6-8h,16,12
18,6-8h,17,10
19,6-8h,18,2
