end,month,start,value
1,0-2h,0,26
2,0-2h,1,25
3,0-2h,2,22
4,0-2h,3,30
5,0-2h,4,15
6,0-2h,5,24
7,0-2h,6,15
8,0-2h,7,32
9,0-2h,8,34
10,0-2h,9,24
11,0-2h,10,17
12,0-2h,11,24
13,0-2h,12,22
14,0-2h,13,6
15,0-2h,14,25
16,0-2h,15,43
17,0-2h,16,11
18,0-2h,17,17
19,0-2h,18,17
20,0-2h,19,39
21,0-2h,20,17
22,0-2h,21,14
23,0-2h,22,57
24,0-2h,23,13
25,0-2h,24,14
26,0-2h,25,11
27,0-2h,26,31
28,0-2h,27,20
29,0-2h,28,28
30,0-2h,29,36
1,2-4h,0,27
2,2-4h,1,33
3,2-4h,2,9
4,2-4h,3,37
5,2-4h,4,19
6,2-4h,5,13
7,2-4h,6,12
8,2-4h,7,16
9,2-4h,8,17
10,2-4h,9,11
11,2-4h,10,22
12,2-4h,11,3
13,2-4h,12,16
14,2-4h,13,11
15,2-4h,14,27
16,2-4h,15,37
17,2-4h,16,18
18,2-4h,17,36
19,2-4h,18,13
20,2-4h,19,26
21,2-4h,20,22
22,2-4h,21,45
23,2-4h,22,23
24,2-4h,23,14
25,2-4h,24,52
26,2-4h,25,35
27,2-4h,26,22
28,2-4h,27,12
29,2-4h,28,40
30,2-4h,29,13
1,4-6h,0,21
2,4-6h,1,24
3,4-6h,2,27
4,4-6h,3,30
5,4-6h,4,2
6,4-6h,5,50
7,4-6h,6,19
8,4-6h,7,15
9,4-6h,8,24
10,4-6h,9,19
11,4-6h,10,25
12,4-6h,11,12
13,4-6h,12,38
14,4-6h,13,21
15,4-6h,14,13
16,4-6h,15,6
17,4-6h,16,28
18,4-6h,17,18
19,4-6h,18,12
20,4-6h,19,30
21,4-6h,20,16
22,4-6h,21,3
23,4-6h,22,5
24,4-6h,23,36
25,4-6h,24,35
26,4-6h,25,12
27,4-6h,26,233
28,4-6h,27,188
29,4-6h,28,172
30,4-6h,29,21
1,6-8h,0,29
2,6-8h,1,24
3,6-8h,2,32
4,6-8h,3,22
5,6-8h,4,21
6,6-8h,5,19
7,6-8h,6,35
8,6-8h,7,39
9,6-8h,8,19
10,6-8h,9,18
11,6-8h,10,7
12,6-8h,11,29
13,6-8h,12,10
14,6-8h,13,7976
15,6-8h,14,13120
16,6-8h,15,23438
17,6-8h,16,15352
18,6-8h,17,7652
19,6-8h,18,3261
20,6-8h,19,2443
21,6-8h,20,4247
22,6-8h,21,1721
23,6-8h,22,1949
24,6-8h,23,1970
25,6-8h,24,3436
26,6-8h,25,3864
27,6-8h,26,3797
28,6-8h,27,1055
29,6-8h,28,596
30,6-8h,29,742
1,8-10h,0,494
2,8-10h,1,492
3,8-10h,2,590
4,8-10h,3,480
5,8-10h,4,434
6,8-10h,5,2332
7,8-10h,6,598
8,8-10h,7,649
9,8-10h,8,448
10,8-10h,9,437
11,8-10h,10,437
12,8-10h,11,780
13,8-10h,12,402
14,8-10h,13,668
15,8-10h,14,413
16,8-10h,15,416
17,8-10h,16,339
18,8-10h,17,334
19,8-10h,18,328
20,8-10h,19,377
21,8-10h,20,305
22,8-10h,21,292
23,8-10h,22,319
24,8-10h,23,473
25,8-10h,24,341
26,8-10h,25,297
27,8-10h,26,268
28,8-10h,27,266
29,8-10h,28,268
30,8-10h,29,311
1,10-12h,0,238
2,10-12h,1,324
3,10-12h,2,300
4,10-12h,3,333
5,10-12h,4,332
6,10-12h,5,431
7,10-12h,6,409
8,10-12h,7,326
9,10-12h,8,350
10,10-12h,9,336
11,10-12h,10,334
12,10-12h,11,352
13,10-12h,12,355
14,10-12h,13,364
15,10-12h,14,359
16,10-12h,15,344
17,10-12h,16,366
18,10-12h,17,372
19,10-12h,18,387
20,10-12h,19,372
21,10-12h,20,366
22,10-12h,21,1883
23,10-12h,22,2235
24,10-12h,23,2251
25,10-12h,24,1742
26,10-12h,25,1481
27,10-12h,26,1445
28,10-12h,27,767
29,10-12h,28,396
30,10-12h,29,397
1,12-14h,0,375
2,12-14h,1,367
3,12-14h,2,406
4,12-14h,3,381
5,12-14h,4,386
6,12-14h,5,381
7,12-14h,6,467
8,12-14h,7,421
9,12-14h,8,388
10,12-14h,9,326
11,12-14h,10,371
12,12-14h,11,330
13,12-14h,12,315
14,12-14h,13,307
15,12-14h,14,321
16,12-14h,15,329
17,12-14h,16,290
18,12-14h,17,277
19,12-14h,18,298
20,12-14h,19,300
21,12-14h,20,280
22,12-14h,21,281
23,12-14h,22,231
24,12-14h,23,518
25,12-14h,24,369
26,12-14h,25,264
27,12-14h,26,236
28,12-14h,27,234
29,12-14h,28,180
30,12-14h,29,219
1,14-16h,0,232
2,14-16h,1,271
3,14-16h,2,183
4,14-16h,3,164
5,14-16h,4,197
6,14-16h,5,156
7,14-16h,6,282
8,14-16h,7,184
9,14-16h,8,180
10,14-16h,9,193
11,14-16h,10,183
12,14-16h,11,150
13,14-16h,12,143
14,14-16h,13,142
15,14-16h,14,141
16,14-16h,15,147
17,14-16h,16,289
18,14-16h,17,236
19,14-16h,18,159
20,14-16h,19,131
21,14-16h,20,142
22,14-16h,21,123
23,14-16h,22,92
24,14-16h,23,315
25,14-16h,24,247
26,14-16h,25,239
27,14-16h,26,107
28,14-16h,27,72
29,14-16h,28,47
30,14-16h,29,36
1,16-18h,0,82
2,16-18h,1,241
3,16-18h,2,105
4,16-18h,3,99
5,16-18h,4,84
6,16-18h,5,69
7,16-18h,6,51
8,16-18h,7,92
9,16-18h,8,62
10,16-18h,9,48
11,16-18h,10,60
12,16-18h,11,59
13,16-18h,12,65
14,16-18h,13,32
15,16-18h,14,51
16,16-18h,15,225
17,16-18h,16,87
18,16-18h,17,89
19,16-18h,18,71
20,16-18h,19,52
21,16-18h,20,68
22,16-18h,21,83
23,16-18h,22,58
24,16-18h,23,67
25,16-18h,24,62
26,16-18h,25,50
27,16-18h,26,64
28,16-18h,27,58
29,16-18h,28,60
30,16-18h,29,62
1,18-20h,0,49
2,18-20h,1,232
3,18-20h,2,172
4,18-20h,3,74
5,18-20h,4,72
6,18-20h,5,77
7,18-20h,6,77
8,18-20h,7,54
9,18-20h,8,40
10,18-20h,9,68
11,18-20h,10,47
12,18-20h,11,42
13,18-20h,12,42
14,18-20h,13,71
15,18-20h,14,46
16,18-20h,15,51
17,18-20h,16,41
18,18-20h,17,282
19,18-20h,18,122
20,18-20h,19,87
21,18-20h,20,85
22,18-20h,21,82
23,18-20h,22,81
24,18-20h,23,57
25,18-20h,24,79
26,18-20h,25,83
27,18-20h,26,48
28,18-20h,27,68
29,18-20h,28,70
30,18-20h,29,53
1,20-22h,0,48
2,20-22h,1,74
3,20-22h,2,65
4,20-22h,3,260
5,20-22h,4,126
6,20-22h,5,92
7,20-22h,6,65
8,20-22h,7,69
9,20-22h,8,59
10,20-22h,9,68
11,20-22h,10,56
12,20-22h,11,60
13,20-22h,12,63
14,20-22h,13,68
15,20-22h,14,47
16,20-22h,15,56
17,20-22h,16,69
18,20-22h,17,56
19,20-22h,18,151
20,20-22h,19,151
21,20-22h,20,92
22,20-22h,21,72
23,20-22h,22,62
24,20-22h,23,68
25,20-22h,24,75
26,20-22h,25,58
27,20-22h,26,68
28,20-22h,27,61
29,20-22h,28,67
30,20-22h,29,43
1,22-24h,0,58
2,22-24h,1,49
3,22-24h,2,238
4,22-24h,3,112
5,22-24h,4,100
6,22-24h,5,56
7,22-24h,6,91
8,22-24h,7,94
9,22-24h,8,71
10,22-24h,9,71
11,22-24h,10,53
12,22-24h,11,60
13,22-24h,12,64
14,22-24h,13,49
15,22-24h,14,89
16,22-24h,15,42
17,22-24h,16,52
18,22-24h,17,52
19,22-24h,18,271
20,22-24h,19,94
21,22-24h,20,85
22,22-24h,21,94
23,22-24h,22,77
24,22-24h,23,56
25,22-24h,24,63
26,22-24h,25,66
27,22-24h,26,67
28,22-24h,27,59
29,22-24h,28,66
30,22-24h,29,49
