end,month,start,value
1,0-2h,0,2
2,0-2h,1,4
3,0-2h,2,0
4,0-2h,3,4
5,0-2h,4,0
6,0-2h,5,6
7,0-2h,6,4
8,0-2h,7,0
9,0-2h,8,4
10,0-2h,9,2
11,0-2h,10,0
12,0-2h,11,2
13,0-2h,12,6
14,0-2h,13,2
15,0-2h,14,0
16,0-2h,15,2
17,0-2h,16,4
18,0-2h,17,0
19,0-2h,18,4
20,0-2h,19,0
21,0-2h,20,4
22,0-2h,21,4
23,0-2h,22,2
24,0-2h,23,0
25,0-2h,24,6
26,0-2h,25,0
27,0-2h,26,2
28,0-2h,27,2
29,0-2h,28,4
30,0-2h,29,2
1,2-4h,0,2
2,2-4h,1,4
3,2-4h,2,0
4,2-4h,3,4
5,2-4h,4,0
6,2-4h,5,4
7,2-4h,6,2
8,2-4h,7,4
9,2-4h,8,0
10,2-4h,9,6
11,2-4h,10,0
12,2-4h,11,2
13,2-4h,12,2
14,2-4h,13,4
15,2-4h,14,0
16,2-4h,15,4
17,2-4h,16,0
18,2-4h,17,4
19,2-4h,18,4
20,2-4h,19,0
21,2-4h,20,4
22,2-4h,21,2
23,2-4h,22,2
24,2-4h,23,2
25,2-4h,24,6
26,2-4h,25,0
27,2-4h,26,2
28,2-4h,27,2
29,2-4h,28,4
30,2-4h,29,0
1,4-6h,0,2
2,4-6h,1,2
3,4-6h,2,4
4,4-6h,3,4
5,4-6h,4,0
6,4-6h,5,0
7,4-6h,6,6
8,4-6h,7,2
9,4-6h,8,0
10,4-6h,9,8
11,4-6h,10,0
12,4-6h,11,2
13,4-6h,12,2
14,4-6h,13,4
15,4-6h,14,0
16,4-6h,15,2
17,4-6h,16,0
18,4-6h,17,6
19,4-6h,18,4
20,4-6h,19,0
21,4-6h,20,0
22,4-6h,21,6
23,4-6h,22,2
24,4-6h,23,0
25,4-6h,24,2
26,4-6h,25,6
27,4-6h,26,2
28,4-6h,27,2
29,4-6h,28,10
30,4-6h,29,12
1,6-8h,0,16
2,6-8h,1,0
3,6-8h,2,8
4,6-8h,3,6
5,6-8h,4,4
6,6-8h,5,2
7,6-8h,6,8
8,6-8h,7,0
9,6-8h,8,0
10,6-8h,9,2
11,6-8h,10,4
12,6-8h,11,4
13,6-8h,12,4
14,6-8h,13,4
15,6-8h,14,4
16,6-8h,15,4
17,6-8h,16,2
18,6-8h,17,10
19,6-8h,18,2
20,6-8h,19,0
21,6-8h,20,4
22,6-8h,21,4
23,6-8h,22,0
24,6-8h,23,4
25,6-8h,24,6
26,6-8h,25,0
27,6-8h,26,4
28,6-8h,27,2
29,6-8h,28,4
30,6-8h,29,4
1,8-10h,0,0
2,8-10h,1,0
3,8-10h,2,8
4,8-10h,3,0
5,8-10h,4,0
6,8-10h,5,4
7,8-10h,6,4
8,8-10h,7,0
9,8-10h,8,4
10,8-10h,9,2
11,8-10h,10,4
12,8-10h,11,4
13,8-10h,12,2
14,8-10h,13,4
15,8-10h,14,4
16,8-10h,15,0
17,8-10h,16,0
18,8-10h,17,8
19,8-10h,18,0
20,8-10h,19,0
21,8-10h,20,4
22,8-10h,21,4
23,8-10h,22,0
24,8-10h,23,4
25,8-10h,24,2
26,8-10h,25,4
27,8-10h,26,4
28,8-10h,27,2
29,8-10h,28,0
30,8-10h,29,8
1,10-12h,0,0
2,10-12h,1,0
3,10-12h,2,4
4,10-12h,3,4
5,10-12h,4,0
6,10-12h,5,4
7,10-12h,6,4
8,10-12h,7,0
9,10-12h,8,4
10,10-12h,9,0
11,10-12h,10,4
12,10-12h,11,4
13,10-12h,12,2
14,10-12h,13,0
15,10-12h,14,8
16,10-12h,15,0
17,10-12h,16,0
18,10-12h,17,4
19,10-12h,18,4
20,10-12h,19,0
21,10-12h,20,4
22,10-12h,21,0
23,10-12h,22,4
24,10-12h,23,4
25,10-12h,24,2
26,10-12h,25,4
27,10-12h,26,4
28,10-12h,27,2
29,10-12h,28,0
30,10-12h,29,8
1,12-14h,0,0
2,12-14h,1,2
3,12-14h,2,4
4,12-14h,3,4
5,12-14h,4,0
6,12-14h,5,4
7,12-14h,6,0
8,12-14h,7,4
9,12-14h,8,4
10,12-14h,9,2
11,12-14h,10,0
12,12-14h,11,8
13,12-14h,12,2
14,12-14h,13,0
15,12-14h,14,8
16,12-14h,15,0
17,12-14h,16,0
18,12-14h,17,4
19,12-14h,18,4
20,12-14h,19,0
21,12-14h,20,4
22,12-14h,21,0
23,12-14h,22,4
24,12-14h,23,4
25,12-14h,24,2
26,12-14h,25,0
27,12-14h,26,8
28,12-14h,27,2
29,12-14h,28,0
30,12-14h,29,4
1,14-16h,0,4
2,14-16h,1,0
3,14-16h,2,4
4,14-16h,3,0
5,14-16h,4,4
6,14-16h,5,4
7,14-16h,6,0
8,14-16h,7,4
9,14-16h,8,4
10,14-16h,9,2
11,14-16h,10,0
12,14-16h,11,8
13,14-16h,12,2
14,14-16h,13,0
15,14-16h,14,4
16,14-16h,15,4
17,14-16h,16,0
18,14-16h,17,4
19,14-16h,18,0
20,14-16h,19,4
21,14-16h,20,4
22,14-16h,21,0
23,14-16h,22,0
24,14-16h,23,10
25,14-16h,24,0
26,14-16h,25,0
27,14-16h,26,8
28,14-16h,27,2
29,14-16h,28,0
30,14-16h,29,4
1,16-18h,0,4
2,16-18h,1,0
3,16-18h,2,4
4,16-18h,3,0
5,16-18h,4,4
6,16-18h,5,4
7,16-18h,6,0
8,16-18h,7,0
9,16-18h,8,8
10,16-18h,9,2
11,16-18h,10,0
12,16-18h,11,4
13,16-18h,12,6
14,16-18h,13,0
15,16-18h,14,4
16,16-18h,15,4
17,16-18h,16,0
18,16-18h,17,4
19,16-18h,18,0
20,16-18h,19,4
21,16-18h,20,4
22,16-18h,21,0
23,16-18h,22,0
24,16-18h,23,8
25,16-18h,24,2
26,16-18h,25,0
27,16-18h,26,4
28,16-18h,27,6
29,16-18h,28,0
30,16-18h,29,4
1,18-20h,0,0
2,18-20h,1,4
3,18-20h,2,4
4,18-20h,3,0
5,18-20h,4,0
6,18-20h,5,8
7,18-20h,6,0
8,18-20h,7,0
9,18-20h,8,8
10,18-20h,9,2
11,18-20h,10,0
12,18-20h,11,4
13,18-20h,12,6
14,18-20h,13,0
15,18-20h,14,4
16,18-20h,15,0
17,18-20h,16,4
18,18-20h,17,4
19,18-20h,18,0
20,18-20h,19,0
21,18-20h,20,8
22,18-20h,21,0
23,18-20h,22,0
24,18-20h,23,4
25,18-20h,24,6
26,18-20h,25,0
27,18-20h,26,4
28,18-20h,27,6
29,18-20h,28,0
30,18-20h,29,4
1,20-22h,0,0
2,20-22h,1,4
3,20-22h,2,4
4,20-22h,3,0
5,20-22h,4,0
6,20-22h,5,8
7,20-22h,6,0
8,20-22h,7,0
9,20-22h,8,4
10,20-22h,9,6
11,20-22h,10,0
12,20-22h,11,4
13,20-22h,12,2
14,20-22h,13,4
15,20-22h,14,4
16,20-22h,15,0
17,20-22h,16,4
18,20-22h,17,4
19,20-22h,18,0
20,20-22h,19,0
21,20-22h,20,8
22,20-22h,21,0
23,20-22h,22,0
24,20-22h,23,4
25,20-22h,24,6
26,20-22h,25,0
27,20-22h,26,4
28,20-22h,27,2
29,20-22h,28,4
30,20-22h,29,4
1,22-24h,0,0
2,22-24h,1,0
3,22-24h,2,8
4,22-24h,3,0
5,22-24h,4,0
6,22-24h,5,4
7,22-24h,6,4
8,22-24h,7,0
9,22-24h,8,4
10,22-24h,9,6
11,22-24h,10,0
12,22-24h,11,4
13,22-24h,12,2
14,22-24h,13,4
15,22-24h,14,4
16,22-24h,15,0
17,22-24h,16,0
18,22-24h,17,8
19,22-24h,18,0
20,22-24h,19,0
21,22-24h,20,4
22,22-24h,21,4
23,22-24h,22,0
24,22-24h,23,4
25,22-24h,24,2
26,22-24h,25,4
27,22-24h,26,4
28,22-24h,27,2
29,22-24h,28,4
30,22-24h,29,6
