end,month,start,value
1,0-2h,0,274
2,0-2h,1,205
3,0-2h,2,246
4,0-2h,3,160
5,0-2h,4,196
6,0-2h,5,169
7,0-2h,6,132
8,0-2h,7,192
9,0-2h,8,144
10,0-2h,9,93
11,0-2h,10,250
12,0-2h,11,137
13,0-2h,12,140
14,0-2h,13,151
15,0-2h,14,189
16,0-2h,15,185
17,0-2h,16,141
18,0-2h,17,190
19,0-2h,18,199
20,0-2h,19,198
21,0-2h,20,162
22,0-2h,21,205
23,0-2h,22,229
24,0-2h,23,183
25,0-2h,24,204
26,0-2h,25,198
27,0-2h,26,140
28,0-2h,27,229
29,0-2h,28,112
30,0-2h,29,116
1,2-4h,0,155
2,2-4h,1,162
3,2-4h,2,119
4,2-4h,3,100
5,2-4h,4,123
6,2-4h,5,133
7,2-4h,6,179
8,2-4h,7,173
9,2-4h,8,148
10,2-4h,9,134
11,2-4h,10,117
12,2-4h,11,125
13,2-4h,12,143
14,2-4h,13,166
15,2-4h,14,143
16,2-4h,15,137
17,2-4h,16,131
18,2-4h,17,145
19,2-4h,18,197
20,2-4h,19,149
21,2-4h,20,115
22,2-4h,21,102
23,2-4h,22,151
24,2-4h,23,140
25,2-4h,24,170
26,2-4h,25,222
27,2-4h,26,232
28,2-4h,27,188
29,2-4h,28,255
30,2-4h,29,219
1,4-6h,0,199
2,4-6h,1,181
3,4-6h,2,222
4,4-6h,3,160
5,4-6h,4,144
6,4-6h,5,137
7,4-6h,6,160
8,4-6h,7,194
9,4-6h,8,202
10,4-6h,9,232
11,4-6h,10,143
12,4-6h,11,133
13,4-6h,12,196
14,4-6h,13,175
15,4-6h,14,148
16,4-6h,15,226
17,4-6h,16,159
18,4-6h,17,175
19,4-6h,18,193
20,4-6h,19,121
21,4-6h,20,100
22,4-6h,21,107
23,4-6h,22,212
24,4-6h,23,187
25,4-6h,24,155
26,4-6h,25,115
27,4-6h,26,148
28,4-6h,27,160
29,4-6h,28,159
30,4-6h,29,199
1,6-8h,0,116
2,6-8h,1,165
3,6-8h,2,122
4,6-8h,3,143
5,6-8h,4,155
6,6-8h,5,81
7,6-8h,6,141
8,6-8h,7,78
9,6-8h,8,82
10,6-8h,9,80
11,6-8h,10,81
12,6-8h,11,0
13,6-8h,12,4311
14,6-8h,13,16551
15,6-8h,14,18657
16,6-8h,15,18171
17,6-8h,16,17861
18,6-8h,17,17503
19,6-8h,18,16963
20,6-8h,19,16741
21,6-8h,20,16367
22,6-8h,21,16228
23,6-8h,22,15795
24,6-8h,23,12844
25,6-8h,24,11965
26,6-8h,25,11631
27,6-8h,26,11416
28,6-8h,27,11096
29,6-8h,28,10776
30,6-8h,29,10401
1,8-10h,0,10242
2,8-10h,1,9967
3,8-10h,2,9671
4,8-10h,3,9562
5,8-10h,4,9388
6,8-10h,5,9203
7,8-10h,6,10102
8,8-10h,7,8504
9,8-10h,8,8311
10,8-10h,9,8006
11,8-10h,10,7831
12,8-10h,11,7463
13,8-10h,12,7284
14,8-10h,13,7115
15,8-10h,14,6903
16,8-10h,15,6608
17,8-10h,16,6289
18,8-10h,17,6215
19,8-10h,18,5858
20,8-10h,19,5572
21,8-10h,20,5607
22,8-10h,21,5195
23,8-10h,22,5262
24,8-10h,23,5559
25,8-10h,24,5729
26,8-10h,25,5912
27,8-10h,26,6094
28,8-10h,27,6489
29,8-10h,28,6831
30,8-10h,29,6847
1,10-12h,0,7146
2,10-12h,1,7473
3,10-12h,2,7834
4,10-12h,3,8001
5,10-12h,4,8343
6,10-12h,5,8735
7,10-12h,6,8823
8,10-12h,7,9038
9,10-12h,8,9086
10,10-12h,9,9293
11,10-12h,10,9181
12,10-12h,11,9400
13,10-12h,12,9278
14,10-12h,13,9530
15,10-12h,14,9784
16,10-12h,15,9992
17,10-12h,16,10047
18,10-12h,17,10552
19,10-12h,18,11083
20,10-12h,19,11200
21,10-12h,20,10676
22,10-12h,21,10859
23,10-12h,22,11031
24,10-12h,23,11729
25,10-12h,24,11834
26,10-12h,25,11907
27,10-12h,26,11735
28,10-12h,27,11782
29,10-12h,28,11919
30,10-12h,29,11868
1,12-14h,0,11813
2,12-14h,1,11319
3,12-14h,2,10889
4,12-14h,3,10619
5,12-14h,4,10428
6,12-14h,5,10418
7,12-14h,6,10232
8,12-14h,7,9410
9,12-14h,8,9516
10,12-14h,9,9139
11,12-14h,10,8891
12,12-14h,11,8066
13,12-14h,12,6907
14,12-14h,13,6634
15,12-14h,14,6297
16,12-14h,15,6116
17,12-14h,16,6175
18,12-14h,17,5989
19,12-14h,18,5620
20,12-14h,19,5228
21,12-14h,20,4983
22,12-14h,21,4816
23,12-14h,22,4769
24,12-14h,23,4293
25,12-14h,24,4060
26,12-14h,25,3832
27,12-14h,26,3663
28,12-14h,27,3451
29,12-14h,28,3238
30,12-14h,29,3153
1,14-16h,0,2939
2,14-16h,1,2992
3,14-16h,2,3117
4,14-16h,3,3366
5,14-16h,4,3383
6,14-16h,5,3392
7,14-16h,6,3593
8,14-16h,7,3424
9,14-16h,8,3246
10,14-16h,9,3116
11,14-16h,10,2920
12,14-16h,11,2984
13,14-16h,12,2891
14,14-16h,13,2577
15,14-16h,14,2462
16,14-16h,15,2464
17,14-16h,16,2210
18,14-16h,17,1965
19,14-16h,18,2009
20,14-16h,19,1764
21,14-16h,20,850
22,14-16h,21,318
23,14-16h,22,260
24,14-16h,23,248
25,14-16h,24,215
26,14-16h,25,209
27,14-16h,26,237
28,14-16h,27,215
29,14-16h,28,208
30,14-16h,29,152
1,16-18h,0,153
2,16-18h,1,191
3,16-18h,2,260
4,16-18h,3,225
5,16-18h,4,209
6,16-18h,5,251
7,16-18h,6,186
8,16-18h,7,213
9,16-18h,8,194
10,16-18h,9,206
11,16-18h,10,324
12,16-18h,11,234
13,16-18h,12,197
14,16-18h,13,220
15,16-18h,14,217
16,16-18h,15,141
