end,month,start,value
1,0-2h,0,2
2,0-2h,1,13
3,0-2h,2,0
4,0-2h,3,0
5,0-2h,4,9
6,0-2h,5,18
7,0-2h,6,0
8,0-2h,7,9
9,0-2h,8,23
10,0-2h,9,0
11,0-2h,10,1
12,0-2h,11,11
13,0-2h,12,4
14,0-2h,13,0
15,0-2h,14,4
16,0-2h,15,15
17,0-2h,16,9
18,0-2h,17,0
19,0-2h,18,7
20,0-2h,19,27
21,0-2h,20,9
22,0-2h,21,0
23,0-2h,22,45
24,0-2h,23,9
25,0-2h,24,9
26,0-2h,25,2
27,0-2h,26,25
28,0-2h,27,9
29,0-2h,28,14
30,0-2h,29,26
1,2-4h,0,24
2,2-4h,1,9
3,2-4h,2,4
4,2-4h,3,25
5,2-4h,4,9
6,2-4h,5,9
7,2-4h,6,10
8,2-4h,7,2
9,2-4h,8,2
10,2-4h,9,9
11,2-4h,10,14
12,2-4h,11,0
13,2-4h,12,13
14,2-4h,13,7
15,2-4h,14,17
16,2-4h,15,27
17,2-4h,16,18
18,2-4h,17,14
19,2-4h,18,9
20,2-4h,19,25
21,2-4h,20,11
22,2-4h,21,11
23,2-4h,22,20
24,2-4h,23,14
25,2-4h,24,26
26,2-4h,25,19
27,2-4h,26,21
28,2-4h,27,11
29,2-4h,28,16
30,2-4h,29,11
1,4-6h,0,20
2,4-6h,1,11
3,4-6h,2,11
4,4-6h,3,27
5,4-6h,4,0
6,4-6h,5,20
7,4-6h,6,7
8,4-6h,7,5
9,4-6h,8,12
10,4-6h,9,11
11,4-6h,10,16
12,4-6h,11,9
13,4-6h,12,25
14,4-6h,13,9
15,4-6h,14,11
16,4-6h,15,4
17,4-6h,16,10
18,4-6h,17,0
19,4-6h,18,10
20,4-6h,19,19
21,4-6h,20,4
22,4-6h,21,0
23,4-6h,22,2
24,4-6h,23,11
25,4-6h,24,9
26,4-6h,25,0
27,4-6h,26,7
28,4-6h,27,9
29,4-6h,28,2
30,4-6h,29,0
1,6-8h,0,18
2,6-8h,1,9
3,6-8h,2,7
4,6-8h,3,2
5,6-8h,4,2
6,6-8h,5,14
7,6-8h,6,9
8,6-8h,7,9
9,6-8h,8,5
10,6-8h,9,2
11,6-8h,10,5
12,6-8h,11,9
13,6-8h,12,9
14,6-8h,13,0
