dIpEn,dPortEn,sIpEn,sPortEn,timeNum
3.54,1.0,1.69,8.86,1
3.53,1.0,1.69,8.9,2
3.48,0.95,1.59,8.8,3
3.47,1.0,1.71,8.92,4
3.44,0.96,1.64,8.87,5
3.74,1.43,1.8,8.87,6
3.82,0.85,9.99,12.97,7
4.26,1.35,9.92,14.19,8
4.15,0.68,6.92,13.33,9
4.38,0.85,6.21,12.51,10
4.36,0.82,5.73,12.5,11
4.53,1.14,3.36,11.09,12
3.78,1.4,4.38,11.87,13
3.64,1.43,4.44,11.56,14
3.37,1.42,4.07,11.1,15
3.7,1.54,4.14,10.8,16
4.29,1.3,6.58,10.57,17
4.3,1.33,6.55,10.52,18
4.31,1.3,6.62,10.54,19
4.34,1.29,6.57,10.59,20
4.31,1.3,6.53,10.43,21
4.3,1.34,6.54,10.47,22
4.34,1.26,6.55,10.59,23
