dIpEn,dPortEn,sIpEn,sPortEn,timeNum
3.5,0.96,1.61,8.7,1
3.57,1.04,1.73,8.7,2
3.53,1.01,1.67,8.7,3
3.52,1.0,1.69,8.76,4
3.53,1.0,1.64,8.69,5
3.42,0.89,1.48,8.61,6
3.51,1.04,1.74,8.74,7
3.43,0.96,1.66,8.76,8
3.44,0.99,1.68,8.74,9
3.43,0.93,1.57,8.68,10
3.51,0.97,1.6,8.6,11
3.63,1.69,1.98,8.67,12
3.51,1.9,5.49,8.23,13
3.73,0.78,9.97,12.93,14
4.29,1.49,9.97,13.78,15
4.0,0.69,8.28,13.92,16
4.08,0.61,6.89,12.6,17
4.23,0.77,6.31,12.13,18
4.36,0.84,6.0,11.59,19
4.37,0.85,6.14,11.45,20
4.36,0.82,5.78,11.53,21
4.33,0.82,5.53,11.54,22
4.7,0.95,4.39,11.36,23
4.36,1.2,2.75,10.34,24
3.8,1.4,4.4,11.51,25
3.75,1.41,4.31,11.24,26
3.62,1.41,4.23,11.05,27
3.64,1.44,4.53,11.14,28
3.47,1.45,4.22,10.9,29
3.22,1.36,3.78,10.49,30
3.22,1.35,3.97,10.53,31
3.98,1.61,4.26,9.98,32
4.26,1.14,6.54,9.94,33
4.24,1.49,6.38,9.2,34
4.27,1.21,6.44,9.8,35
4.26,1.45,6.44,9.29,36
4.26,1.15,6.51,9.9,37
4.27,1.5,6.46,9.18,38
4.29,1.16,6.47,9.91,39
4.31,1.46,6.48,9.34,40
4.27,1.18,6.44,9.75,41
4.27,1.45,6.42,9.17,42
4.3,1.27,6.4,9.72,43
4.26,1.41,6.47,9.33,44
4.28,1.14,6.47,9.87,45
4.34,1.4,6.4,9.37,46
4.34,1.18,6.46,9.8,47
