dIpEn,dPortEn,sIpEn,sPortEn,timeNum
4.06,0.41,8.88,9.34,1
3.99,0.41,9.01,9.35,2
4.07,0.3,9.0,9.42,3
2.98,9.62,0.84,2.11,4
2.78,10.8,0.43,1.76,5
2.77,11.04,0.41,1.74,6
2.81,10.84,0.49,1.88,7
2.71,11.97,0.4,1.99,8
2.78,11.29,0.45,1.92,9
2.78,11.44,0.41,1.86,10
2.78,11.44,0.44,1.89,11
2.78,11.35,0.43,1.88,12
2.77,11.49,0.4,1.85,13
2.79,11.31,0.45,1.9,14
2.78,11.49,0.44,1.87,15
2.81,11.3,0.5,1.96,16
2.76,11.43,0.41,1.87,17
2.82,11.14,0.53,1.99,18
2.8,11.23,0.47,1.92,19
2.78,11.31,0.46,1.92,20
2.77,11.42,0.43,1.88,21
2.88,10.99,0.66,2.11,22
2.88,11.06,0.63,2.07,23
2.79,11.33,0.46,1.96,24
2.59,12.74,0.44,1.96,25
2.0,13.38,0.48,1.67,26
2.12,12.88,0.57,1.9,27
2.77,11.73,0.41,1.93,28
2.76,11.71,0.4,1.93,29
2.8,11.68,0.48,2.0,30
2.78,11.83,0.44,1.94,31
2.85,11.37,0.57,2.08,32
2.77,11.83,0.41,1.93,33
2.81,11.53,0.49,2.02,34
2.77,11.83,0.41,1.94,35
2.81,11.73,0.48,2.0,36
2.78,11.83,0.43,1.95,37
2.8,11.85,0.46,1.97,38
2.79,11.67,0.47,1.99,39
2.86,11.38,0.63,2.16,40
2.79,11.81,0.46,1.98,41
2.76,11.87,0.45,1.98,42
2.81,11.42,0.59,2.12,43
1.6,10.87,0.82,2.38,44
4.28,0.91,8.79,9.47,45
4.24,1.05,8.68,9.44,46
4.26,1.15,8.62,9.56,47
